job_title,avg_salary,growth_rate,demand_level,description
提示工程师,300000,200,极高,设计和优化AI大模型的提示词 2023年新兴职业
大模型工程师,600000,180,极高,开发训练和优化大语言模型 技术含量最高的AI岗位之一
AI产品经理,400000,150,极高,负责AI产品规划和落地 需兼具技术和商业思维
AI训练师,250000,120,高,训练和优化AI模型 制定标注规范和质量标准
数据标注专家,120000,100,高,为AI训练提供高质量标注数据 行业需求量巨大
AI安全工程师,450000,160,极高,保障AI系统安全 防范对抗攻击和数据泄露风险
AIGC内容审核,150000,90,高,审核AI生成内容的合规性和准确性
数字人运营,200000,140,高,管理和运营虚拟数字人 IP打造和商业变现
智能驾驶工程师,500000,130,高,开发自动驾驶感知决策和控制系统
AI医疗影像分析师,350000,110,高,利用AI辅助医学影像诊断和疾病筛查
智能制造工程师,300000,100,高,推动工厂智能化改造和工业AI应用
AI教育设计师,250000,95,中高,设计AI辅助教学方案和个性化学习系统
算法审计师,350000,120,高,审计AI算法的公平性透明度和合规性
AI心理咨询师,200000,85,中高,结合AI工具提供心理评估和干预方案
AI伦理官,400000,90,中高,制定AI伦理准则和治理框架 确保AI负责任发展
AIGC创意总监,500000,110,高,领导AI生成内容的创意方向和品质把控
