year,event,impact
2011,IBM Watson参加危险边缘节目并击败人类冠军,引发公众对AI能力的认知 推动企业AI投资
2012,AlexNet在ImageNet竞赛中大幅领先,深度学习革命开启 计算机视觉领域快速发展
2014,GAN对抗生成网络提出,AI可生成逼真图像和内容 创意产业开始受冲击
2016,AlphaGo击败李世石,全球AI热潮爆发 各国加大AI战略投入
2017,Transformer架构论文发表,奠定大语言模型基础 成为后续所有LLM的核心架构
2018,GPT-1发布,AI语言理解能力大幅提升 NLP领域进入新阶段
2019,中国将AI列入新基建,明确AI产业战略地位 推动AI人才需求爆发
2020,GPT-3发布 展示强大文本生成能力,内容创作行业开始受冲击 AI写作引发讨论
2021,中国新一代AI发展规划中期评估,确认AI带动就业转型数百万岗位
2022,ChatGPT发布 全球用户破亿仅用2个月,AI进入大众视野 知识工作者首次面临直接冲击
2023,全球AI创业潮 硅谷裁员潮,科技行业大规模裁员 AI替代白领工作成为现实话题
2023,AIGC产业规模突破千亿,催生提示工程师 AI训练师等新职业
2024,欧盟AI法案正式生效,全球首个AI监管法规 对AI就业影响进行系统性治理
2024,中国发布生成式AI管理办法,规范AI生成内容 促进AI行业健康发展
2025,多模态大模型全面商用,AI能力从文本扩展到图像视频音频 全面渗透各行业
